username,role,login_time
a01,admin,2025-06-25 13:13:35
a01,admin,2025-06-25 13:13:45
v01,user,2025-06-25 13:24:03
a01,admin,2025-06-25 13:24:15
a01,admin,2025-06-25 13:31:39
a01,admin,2025-06-25 13:38:15
a01,admin,2025-06-25 13:54:12,edit_product,Edited product Soy Milk Pudding (Tofu Pudding) (ID: 1)
a01,admin,2025-06-25 13:58:41,edit_product,Edited product Soy Ice Cream (Soft Serve) (ID: 2)
a01,admin,2025-06-25 14:04:33
a01,admin,2025-06-25 14:18:44,edit_product,Edited product Soy Milk Pudding (Tofu Pudding) (ID: 1)
a01,admin,2025-06-25 14:20:00
v01,user,2025-06-25 14:23:54
a01,admin,2025-06-25 14:24:47
a01,admin,2025-06-25 14:26:29,edit_product,Edited product Soy Milk Pudding (Tofu Pudding) (ID: 1)
a01,admin,2025-06-25 14:26:42
v01,user,2025-06-25 14:26:48
a01,admin,2025-06-25 14:28:49
v01,user,2025-06-25 14:29:05
v03,user,2025-06-25 14:30:10
a01,admin,2025-06-25 14:30:48
